,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
0,"Bill Nighy, Gregor Fisher, Rory MacGregor, Colin Firth",Nominated for 2 Golden Globes. Another 10 wins & 28 nominations.,"$59,365,105.00","UK, USA, France",27 Apr 2004,Richard Curtis,"Comedy, Drama, Romance","English, Portuguese, French",55,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NjQ5NDc0Nl5BMl5BanBnXkFtZTYwNjk5NDM3._V1_SX300.jpg,Universal Pictures,R,14 Nov 2003,True,135 min,Love Actually,movie,http://www.loveactually.com/,Richard Curtis,2003,tt0314331,7.7,"336,303",fresh,193,
1,"Noel Appleby, Ali Astin, Sean Astin, David Aston",Won 11 Oscars. Another 174 wins & 113 nominations.,"$364,000,000.00","USA, New Zealand",25 May 2004,Peter Jackson,"Adventure, Drama, Fantasy","English, Quenya, Old English, Sindarin",94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWY1ZWQ5YjMtMDE0MS00NWIzLWE1M2YtODYzYTk2OTNlYWZmXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,New Line Cinema,PG-13,17 Dec 2003,True,201 min,The Lord of the Rings: The Return of the King,movie,http://www.lordoftherings.net/,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)",2003,tt0167260,8.9,"1,270,249",certified,262,
2,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne",Won 2 Oscars. Another 53 wins & 131 nominations.,"$88,800,000.00","USA, Australia",08 Jun 2004,Clint Eastwood,"Crime, Drama, Mystery",English,84,"With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one has a family tragedy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SX300.jpg,WB,R,15 Oct 2003,True,138 min,Mystic River,movie,http://mysticrivermovie.warnerbros.com/,"Brian Helgeland (screenplay), Dennis Lehane (novel)",2003,tt0327056,8.0,"348,439",certified,195,
3,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 5 Oscars. Another 31 wins & 88 nominations.,"$305,343,252.00",USA,02 Dec 2003,Gore Verbinski,"Action, Adventure, Fantasy",English,63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3._V1_SX300.jpg,Buena Vista Pictures,PG-13,09 Jul 2003,True,143 min,Pirates of the Caribbean: The Curse of the Black Pearl,movie,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,"Ted Elliott (screen story), Terry Rossio (screen story), Stuart Beattie (screen story), Jay Wolpert (screen story), Ted Elliott (screenplay), Terry Rossio (screenplay)",2003,tt0325980,8.0,"843,171",certified,209,
4,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah",Nominated for 1 Golden Globe. Another 25 wins & 85 nominations.,N/A,USA,13 Apr 2004,Quentin Tarantino,"Action, Crime, Thriller","English, Japanese, French",69,The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NDg1Mzg4M15BMl5BanBnXkFtZTYwMDExOTc3._V1_SX300.jpg,Miramax Films,R,10 Oct 2003,True,111 min,Kill Bill: Vol. 1,movie,http://www.kill-bill.com/,"Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)",2003,tt0266697,8.1,"770,438",certified,226,
5,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",Won 1 Oscar. Another 46 wins & 59 nominations.,"$380,529,370.00",USA,07 May 2013,"Andrew Stanton, Lee Unkrich","Animation, Adventure, Comedy",English,90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Walt Disney Pictures,G,30 May 2003,True,100 min,Finding Nemo,movie,http://disney.go.com/disneyvideos/animatedfilms/findingnemo/index2.html,"Andrew Stanton (original story by), Andrew Stanton (screenplay), Bob Peterson (screenplay), David Reynolds (screenplay)",2003,tt0266543,8.1,"729,825",certified,255,
6,"Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning",3 wins & 15 nominations.,"$100,446,895.00",USA,16 Mar 2004,Bo Welch,"Adventure, Comedy, Family",English,19,Two bored children have their lives turned upside down when a talking cat comes to visit them.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDU3MTYyMF5BMl5BanBnXkFtZTYwODgyODc3._V1_SX300.jpg,Universal Pictures,PG,21 Nov 2003,True,82 min,The Cat in the Hat,movie,http://www.thecatinthehatmovie.com/,"Dr. Seuss (book), Alec Berg (screenplay), David Mandel (screenplay), Jeff Schaffer (screenplay)",2003,tt0312528,3.8,"37,362",rotten,158,
7,"Ken Watanabe, Tom Cruise, William Atherton, Chad Lindberg",Nominated for 4 Oscars. Another 19 wins & 54 nominations.,"$111,000,000.00","USA, New Zealand, Japan",04 May 2004,Edward Zwick,"Action, Drama, History","English, Japanese",55,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzkyNzQ1Mzc0NV5BMl5BanBnXkFtZTcwODg3MzUzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,05 Dec 2003,True,154 min,The Last Samurai,movie,http://lastsamurai.warnerbros.com/html_index.php,"John Logan (story), John Logan (screenplay), Edward Zwick (screenplay), Marshall Herskovitz (screenplay)",2003,tt0325710,7.7,"327,216",fresh,218,
8,"Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly",1 win & 8 nominations.,"$51,483,949.00","USA, UK, Germany, Hungary",06 Jan 2004,Len Wiseman,"Action, Fantasy, Thriller",English,42,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNDExNDEyMV5BMl5BanBnXkFtZTcwODY1OTkxMw@@._V1_SX300.jpg,Sony Screen Gems,R,19 Sep 2003,True,121 min,Underworld,movie,http://www.sonypictures.com/movies/underworld/,"Kevin Grevioux (story), Len Wiseman (story), Danny McBride (story), Danny McBride (screenplay)",2003,tt0320691,7.0,"217,441",rotten,159,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
