,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",4 wins & 6 nominations.,N/A,USA,03 Feb 2015,"Chad Stahelski, David Leitch","Action, Crime, Thriller","English, Russian, Hungarian",68,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NjA1ODgzMF5BMl5BanBnXkFtZTgwMTM2MTI4MjE@._V1_SX300.jpg,LionsGate Entertainment,R,24 Oct 2014,True,101 min,John Wick,movie,http://johnwickthemovie.com/,Derek Kolstad,2014,tt2911666,7.2,"299,127",certified,188
1,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",Won 1 Oscar. Another 40 wins & 135 nominations.,"$158,737,441.00","USA, UK",31 Mar 2015,Christopher Nolan,"Adventure, Drama, Sci-Fi",English,74,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg,Paramount Pictures,PG-13,07 Nov 2014,True,169 min,Interstellar,movie,http://www.InterstellarMovie.com/,"Jonathan Nolan, Christopher Nolan",2014,tt0816692,8.6,"1,006,066",certified,308
2,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",Nominated for 2 Oscars. Another 49 wins & 93 nominations.,"$270,592,504.00","USA, UK",09 Dec 2014,James Gunn,"Action, Adventure, Sci-Fi",English,76,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,Walt Disney Pictures,PG-13,01 Aug 2014,True,121 min,Guardians of the Galaxy,movie,http://marvel.com/guardians,"James Gunn, Nicole Perlman, Dan Abnett (based on the Marvel comic book by), Andy Lanning (based on the Marvel comic book by), Steve Gerber (character created by: Howard the Duck), Val Mayerik (character created by: Howard the Duck)",2014,tt2015381,8.1,"730,398",certified,288
3,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",Won 3 Oscars. Another 88 wins & 135 nominations.,N/A,USA,24 Feb 2015,Damien Chazelle,"Drama, Music",English,88,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVhMWQ5MDktMGE3OS00MjVlLWExZWYtMzY2MTg4ZGFiZDQ5L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Sony Pictures Classics,R,15 Oct 2014,True,107 min,Whiplash,movie,http://sonyclassics.com/whiplash/,Damien Chazelle,2014,tt2582802,8.5,"446,912",certified,261
4,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",Nominated for 1 Oscar. Another 15 wins & 43 nominations.,"$199,305,306.00","USA, UK, Canada",14 Oct 2014,Bryan Singer,"Action, Adventure, Sci-Fi","English, Vietnamese, French",74,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,https://images-na.ssl-images-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,23 May 2014,True,132 min,X-Men: Days of Future Past,movie,http://www.x-menmovies.com/,"Simon Kinberg (screenplay), Jane Goldman (story), Simon Kinberg (story), Matthew Vaughn (story)",2014,tt1877832,8.0,"535,388",certified,287
5,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",Won 1 Oscar. Another 44 wins & 150 nominations.,N/A,"UK, USA",31 Mar 2015,Morten Tyldum,"Biography, Drama, Thriller","English, German",73,"During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjI3NjY1Mjg3MV5BMl5BanBnXkFtZTgwMzk5MDQ3MjE@._V1_SX300.jpg,The Weinstein Company,PG-13,25 Dec 2014,True,114 min,The Imitation Game,movie,http://theimitationgamemovie.com/,"Graham Moore, Andrew Hodges (book)",2014,tt2084970,8.1,"515,949",certified,247
6,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",Nominated for 1 Oscar. Another 64 wins & 170 nominations.,N/A,USA,13 Jan 2015,David Fincher,"Crime, Drama, Mystery",English,79,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,20th Century Fox,R,03 Oct 2014,True,149 min,Gone Girl,movie,http://www.findamazingamy.com/,"Gillian Flynn (screenplay), Gillian Flynn (novel)",2014,tt2267998,8.1,"613,969",certified,307
7,"Domhnall Gleeson, Corey Johnson, Oscar Isaac, Alicia Vikander",Won 1 Oscar. Another 64 wins & 137 nominations.,"$19,012,798.00",UK,14 Jul 2015,Alex Garland,"Drama, Mystery, Sci-Fi",English,78,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_SX300.jpg,A24 Films,R,24 Apr 2015,True,108 min,Ex Machina,movie,http://meet-ava.com/,Alex Garland,2015,tt0470752,7.7,"327,004",certified,232
8,"Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie",Nominated for 1 Oscar. Another 71 wins & 59 nominations.,"$244,870,202.00","Australia, USA, Denmark",17 Jun 2014,"Phil Lord, Christopher Miller","Animation, Action, Adventure",English,83,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg,Warner Bros. Pictures,PG,07 Feb 2014,True,100 min,The LEGO Movie,movie,http://thelegomovie.warnerbros.com/,"Phil Lord (screenplay), Christopher Miller (screenplay), Dan Hageman (story), Kevin Hageman (story), Phil Lord (story), Christopher Miller (story)",2014,tt1490017,7.8,"259,427",certified,226
9,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña",5 wins & 21 nominations.,"$72,609,225.00","USA, China, UK",27 Jan 2015,David Ayer,"Action, Drama, War","English, German",64,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MDU0NTUyN15BMl5BanBnXkFtZTgwMzQxMzY4MjE@._V1_SX300.jpg,Sony Pictures,R,17 Oct 2014,True,134 min,Fury,movie,http://furymovie.tumblr.com/,David Ayer,2014,tt2713180,7.6,"324,490",certified,229
